timezone,temp,humidity,weather
25-02-23 14:51:15,-6.24,53,clear sky
25-02-23 14:59:45,-6.24,53,clear sky
25-02-23 15:20:40,-6.24,53,clear sky
25-02-23 15:29:43,-6.24,53,clear sky
25-02-23 15:39:46,-6.24,53,clear sky
25-02-23 15:48:04,-6.24,53,clear sky
25-02-23 15:56:26,-6.24,53,clear sky
25-02-23 16:17:01,-6.24,53,clear sky
25-02-23 16:33:49,-6.24,58,clear sky
25-02-23 16:43:15,-6.24,58,clear sky
25-02-23 16:51:46,-6.24,58,clear sky
25-02-23 17:00:00,-6.24,58,clear sky
25-02-23 17:18:47,-3.7,39,clear sky
25-02-23 17:29:57,-8.24,62,clear sky
25-02-23 17:40:05,-8.24,62,clear sky
25-02-23 17:48:27,-8.24,62,clear sky
25-02-23 17:56:57,-8.24,62,clear sky
25-02-23 18:20:30,-8.24,67,clear sky
25-02-23 18:37:17,-8.24,67,clear sky
25-02-23 18:45:54,-8.24,67,clear sky
25-02-23 18:54:05,-8.24,67,clear sky
25-02-23 19:08:04,-8.24,67,clear sky
25-02-23 19:19:39,-4,41,clear sky
25-02-23 19:28:19,-10.24,79,clear sky
25-02-23 19:37:43,-10.24,79,clear sky
25-02-23 19:46:01,-10.24,79,clear sky
25-02-23 19:54:23,-10.24,79,clear sky
25-02-23 20:11:37,-10.24,79,clear sky
25-02-23 20:27:20,-10.24,73,clear sky
25-02-23 20:37:55,-10.24,73,clear sky
25-02-23 20:46:28,-10.24,73,clear sky
25-02-23 20:55:04,-10.24,73,clear sky
25-02-23 21:10:45,-4.28,42,clear sky
25-02-23 21:25:27,-9.24,73,clear sky
25-02-23 21:34:35,-9.24,73,clear sky
25-02-23 21:42:49,-9.24,73,clear sky
25-02-23 21:51:09,-9.24,73,clear sky
25-02-23 21:59:36,-9.24,73,clear sky
25-02-23 22:19:58,-4.35,43,clear sky
25-02-23 22:32:45,-10.24,79,clear sky
25-02-23 22:41:13,-10.24,79,clear sky
25-02-23 22:49:40,-10.24,79,clear sky
25-02-23 22:57:53,-10.24,79,clear sky
25-02-23 23:16:36,-4.24,43,clear sky
25-02-23 23:27:36,-7.24,68,clear sky
25-02-23 23:36:56,-7.24,68,clear sky
25-02-23 23:45:27,-7.24,68,clear sky
25-02-23 23:53:55,-7.24,68,clear sky
25-02-24 00:53:34,-2.24,54,clear sky
25-02-24 02:16:14,-1.71,32,clear sky
25-02-24 03:02:23,0.76,32,clear sky
25-02-24 03:31:32,1.76,30,clear sky
25-02-24 03:45:32,1.76,30,clear sky
25-02-24 03:54:02,1.76,30,clear sky
25-02-24 04:13:44,1.76,30,clear sky
25-02-24 04:33:04,2.76,30,clear sky
25-02-24 04:44:18,2.76,30,clear sky
25-02-24 04:52:39,2.76,30,clear sky
25-02-24 05:09:02,2.76,30,clear sky
25-02-24 05:29:33,3.76,33,clear sky
25-02-24 05:40:52,3.76,33,clear sky
25-02-24 05:49:06,3.76,33,clear sky
25-02-24 05:57:33,3.76,33,clear sky
25-02-24 06:27:07,3.76,33,clear sky
25-02-24 06:45:31,3.76,33,clear sky
25-02-24 06:53:59,3.76,33,clear sky
25-02-24 07:11:16,2.2,24,clear sky
25-02-24 07:26:13,2.2,24,clear sky
25-02-24 07:35:16,3.76,30,clear sky
25-02-24 07:43:52,3.76,30,clear sky
25-02-24 07:52:29,3.76,30,clear sky
25-02-24 08:11:54,3.76,30,clear sky
25-02-24 08:34:54,3.76,30,clear sky
25-02-24 08:47:46,3.76,30,clear sky
25-02-24 08:56:19,3.76,30,clear sky
25-02-24 09:17:39,1.87,27,clear sky
25-02-24 09:32:28,1.76,35,clear sky
25-02-24 09:42:09,1.76,35,clear sky
25-02-24 09:50:37,1.76,35,clear sky
25-02-24 09:58:44,1.76,35,clear sky
25-02-24 10:22:55,0.76,40,clear sky
25-02-24 10:39:49,0.76,40,clear sky
25-02-24 10:48:16,0.76,40,clear sky
25-02-24 10:56:31,0.76,40,clear sky
25-02-24 11:13:24,0.54,35,clear sky
25-02-24 11:25:27,0.76,60,clear sky
25-02-24 11:35:18,0.76,60,clear sky
25-02-24 11:43:49,0.76,60,clear sky
25-02-24 11:52:14,0.76,60,clear sky
25-02-24 12:14:16,0.11,38,clear sky
25-02-24 12:53:34,0.76,64,clear sky
25-02-24 13:18:58,-0.09,41,clear sky
25-02-24 13:37:07,-0.24,69,clear sky
25-02-24 13:45:42,-0.24,69,clear sky
25-02-24 13:54:11,-0.24,69,clear sky
25-02-24 14:11:17,-0.26,42,clear sky
25-02-24 14:31:51,-2.24,86,clear sky
25-02-24 14:43:40,-2.24,86,clear sky
25-02-24 14:52:15,-2.24,86,clear sky
25-02-24 15:08:30,-2.24,86,clear sky
25-02-24 15:29:43,-5.24,93,clear sky
25-02-24 15:41:55,-5.24,93,clear sky
25-02-24 15:50:28,-5.24,93,clear sky
25-02-24 15:58:48,-5.24,93,clear sky
25-02-24 16:27:37,-6.24,100,clear sky
25-02-24 16:46:08,-6.24,100,clear sky
25-02-24 16:54:51,-6.24,100,clear sky
25-02-24 17:11:27,-0.46,50,clear sky
25-02-24 17:28:02,-5.24,100,clear sky
25-02-24 17:38:11,-5.24,100,clear sky
25-02-24 17:46:47,-5.24,100,clear sky
25-02-24 17:55:01,-5.24,100,clear sky
25-02-24 18:18:04,-0.47,57,few clouds
25-02-24 18:40:31,-7.24,93,clear sky
25-02-24 18:51:01,-7.24,93,clear sky
25-02-24 18:59:23,-7.24,93,clear sky
25-02-24 19:17:37,-0.5,65,few clouds
25-02-24 19:26:18,-6.24,93,clear sky
25-02-24 19:36:15,-6.24,93,clear sky
25-02-24 19:44:28,-6.24,93,clear sky
25-02-24 19:52:42,-6.24,93,clear sky
25-02-24 20:10:11,-0.5,68,broken clouds
25-02-24 20:29:13,-7.24,100,clear sky
25-02-24 20:40:36,-7.24,100,clear sky
25-02-24 20:49:09,-7.24,100,clear sky
25-02-24 20:57:29,-7.24,100,clear sky
25-02-24 21:15:59,-0.58,69,broken clouds
25-02-24 21:28:26,-7.24,100,clear sky
25-02-24 21:38:03,-7.24,100,clear sky
25-02-24 21:47:00,-7.24,100,clear sky
25-02-24 21:54:43,-7.24,100,clear sky
25-02-24 22:11:37,-0.74,68,scattered clouds
25-02-24 22:30:44,-6.24,100,clear sky
25-02-24 22:41:44,-6.24,100,clear sky
25-02-24 22:50:09,-6.24,100,clear sky
25-02-24 22:58:34,-6.24,100,clear sky
25-02-24 23:19:10,-0.53,66,scattered clouds
25-02-24 23:29:43,-3.24,93,clear sky
25-02-24 23:38:52,-3.24,93,clear sky
25-02-24 23:47:19,-3.24,93,clear sky
25-02-24 23:55:33,-3.24,93,clear sky
25-02-25 01:07:17,0.76,80,clear sky
